URL,LISTING_AGE,LISTING_TITLE,STREET_NUMBER,STREET,SUBURB,EXPECTED_SALE_PRICE,LAND_AREA_IN_M2,FLOOR_AREA,BEDROOM_COUNT,BATHROOM_COUNT,GARAGE_PARKING_COUNT,OFFSTREET_PARKING_COUNT,PARKING_GARAGING_DESCRIPTION,SALE_TYPE,IS_RELIST,START_DATE,END_DATE,AUCTION_AT,DEADLINE_DATE,ASKING_PRICE,RATEABLE_VALUE,LISTING_ID,LATITUDE,LONGITUDE,SALE_TYPE,OPEN_HOME_DATE,OPEN_HOME_TIME
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/kohimarama/listing/6075737565,0,Kohi Family Home with Garden Studio,10,Piccadilly Place,"Auckland,Auckland City,Kohimarama",1950000.00,531,227,4,3,1,3,"1 garage spaces, 1 carport spaces, 3 open spaces",Auction,FALSE,2026-08-10,2026-10-05,2026-09-08 16:00:00.000000 +1200,,,2500000.00,6075737565,-36.855016,174.840028,Auction,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/point-chevalier/listing/6069297078,4,Vendors demanding action - present offers,4,Moa Road,"Auckland,Auckland City,Point Chevalier",900000.00,,,3,2,1,0,1 car garaging,Price by Negotiation,TRUE,2026-08-06,2026-10-01,,,,,6069297078,-36.868836,174.714370,Price by Negotiation,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/western-springs/listing/6069373920,4,City-Fringe Cool Meets Sunlit Style,18A,Bannerman Road,"Auckland,Auckland City,Western Springs",1000000.00,,,3,1,0,1,Single Garage + Single Carport,Auction,FALSE,2026-08-06,2026-10-05,2026-08-26 18:00:00.000000 +1200,,,1075000.00,6069373920,-36.871265,174.731033,Auction,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-eden/listing/6069344632,4,Spacious Family Living in the Heart of Mt Eden,169,Landscape Road,"Auckland,Auckland City,Mount Eden",1300000.00,,,4,3,2,1,"2 Car Garage, 1 Car Off Street Parking",Auction,FALSE,2026-08-06,2026-10-04,2026-08-26 13:30:00.000000 +1200,,,,6069344632,-36.896427,174.746903,Auction,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-albert/listing/6069770353,4,Classic Kiwi Living on 696sqm of Freehold Land,20,Mark Road,"Auckland,Auckland City,Mount Albert",1500000.00,696,142,3,1,1,2,Single Garaging + Off Street Parking,Auction,FALSE,2026-08-06,2026-10-04,2026-08-26 16:00:00.000000 +1200,,,,6069770353,-36.882735,174.709195,Auction,2026-08-14,12:00:00 - 12:30:00
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/westmere/listing/6069361552,4,"Location, location, location",20,Regina Street,"Auckland,Auckland City,Westmere",1750000.00,,169,3,1,1,1,"1 car garaging, 1 carport",Deadline sale,FALSE,2026-08-06,2026-10-05,,2026-09-03,,1925000.00,6069361552,-36.853059,174.729063,Deadline sale,2026-08-15,14:00:00 - 14:30:00
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-albert/listing/6069758818,4,Parkdale Prestige,43,Parkdale Road,"Auckland,Auckland City,Mount Albert",1900000.00,688,140,4,2,1,0,1 garage spaces,Auction,FALSE,2026-08-06,2026-10-05,2026-08-27 10:00:00.000000 +1200,,,,6069758818,-36.875290,174.715965,Auction,2026-08-16,11:00:00 - 11:30:00
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-albert/listing/6069659757,4,Character & Family Living with Poolside Lifestyle,6,Verona Avenue,"Auckland,Auckland City,Mount Albert",2000000.00,696,,3,2,1,2,"1 garage spaces, 2 open spaces",Auction,FALSE,2026-08-06,2026-10-02,2026-08-27 10:00:00.000000 +1200,,,,6069659757,-36.875161,174.719187,Auction,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/point-chevalier/listing/6067865618,5,Pt Chevalier | Professionals,38,Montrose Street,"Auckland,Auckland City,Point Chevalier",1200000.00,728,72,3,1,0,1,1 open spaces,Auction,FALSE,2026-08-05,2026-09-30,2026-08-26 12:00:00.000000 +1200,,,1600000.00,6067865618,-36.870610,174.707081,Auction,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-albert/listing/6067396973,5,Where YOUR Story Unfolds,18,Alberton Avenue,"Auckland,Auckland City,Mount Albert",1400000.00,521,,3,1,2,1,"2 Car Garage, 1 Car Off Street Parking",Auction,FALSE,2026-08-05,2026-10-05,2026-08-27 10:00:00.000000 +1200,,,,6067396973,-36.881168,174.726685,Auction,2026-08-15,12:00:00 - 12:30:00
